epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3204.52,1.87708,4.04954,1.82433,0.18796,0.17313,0.11143,0.04517,1.96511,31.3852,1.94131,0.000648649,0.000648649,0.000648649
2,6846.99,2.16123,2.72367,1.96441,0.0134,0.35373,0.00832,0.00273,1.98553,4624.13,3.67966,0.00130229,0.00130229,0.00130229
3,58912.9,2.1796,2.64325,2.06871,0.00037,0.09403,0.00021,6e-05,2.6026,41033,4.42838,0.00194274,0.00194274,0.00194274
4,61879.7,2.20948,2.55203,2.08941,0.00502,0.01045,0.00078,0.00021,3.08054,141.922,15.6215,0.0019406,0.0019406,0.0019406
